Strategy,Total Return,CAGR,Benchmark Return,Annual Vol,Sharpe,Sortino,Max Drawdown,Calmar,Alpha (ann),Beta,Info Ratio,Alpha t-stat,Alpha p-value,Alpha sig (5%),Boot Alpha,Boot CI Low,Boot CI High,P(alpha>0),Total Costs,N Trades,N Days
Mean Reversion,0.5770888555385958,0.07662423059715784,1.050235502107025,0.2783228208427084,0.4046940588580171,0.521703419391463,-0.4019202831576114,0.2802436123769319,-0.021864093047920297,0.9772178896811696,-0.12999996982974657,-0.32292984029760197,0.7467918212556341,False,-0.024650546327531175,-0.1741268463320743,0.1215035162192646,0.3704,92934.1922810751,3769,1555
Breakout,-0.6284813200228258,-0.1482503230345661,1.050235502107025,0.23489375639399315,-0.5639384454709345,-0.5216828401612729,-0.690986536092047,-0.19170506647037044,-0.16520719207557746,0.23788643157206066,-0.9707947320373421,-2.4115281579614463,0.016001157683837693,True,-0.26858037126825507,-0.49401575962167327,-0.04793296845542897,0.0094,16559.80902582549,707,1555
Pullback,-0.2882095124561743,-0.05360484652973252,1.050235502107025,0.1887838024595024,-0.19682301465985289,-0.1650096145038711,-0.5138418039565219,-0.07231213348724233,-0.07552795996750314,0.27878720545261515,-0.7493834483755023,-1.861525642063597,0.06285866224651411,False,-0.17416224217232748,-0.3576657738720875,0.011670897584450522,0.0344,22974.42119797143,512,1555
Swing,-0.016439705184159492,-0.002682720996449728,1.050235502107025,0.2743373846683698,0.12805812014235016,0.15133990547108905,-0.3650655705881578,0.09623238288069841,-0.07058360106144569,0.768078572820179,-0.44727962715921205,-1.1110767083720092,0.2667072069862316,False,-0.10259261318575115,-0.2782608042023033,0.07701519302029415,0.1312,55004.58466269782,2341,1555
Momentum (60d),0.5041676647494253,0.0683960009118163,1.050235502107025,0.27299731581078784,0.37962545436164746,0.4868654553442949,-0.4605410282768097,0.22503256754768286,-0.022658154189621124,0.9176052730376428,-0.17193319257986478,-0.4270951639018609,0.6693691811285526,False,-0.033482804126907545,-0.19244105256692814,0.1226293897623422,0.3382,20740.376412278503,4128,1555
Regime Router,0.10818668199939063,0.016786745365122258,1.050235502107025,0.1962362777798426,0.18338149872005968,0.22945331472446276,-0.3142391809021389,0.1145181915864284,-0.06734852364475753,0.7507857393411101,-0.7742885984723389,-1.9233919344472972,0.05461336448282018,False,-0.10116404861067742,-0.2059212905841263,0.0017959883150145382,0.0276,38741.325483348075,10191,1555
