Strategy,Total Return,CAGR,Benchmark Return,Annual Vol,Sharpe,Sortino,Max Drawdown,Calmar,Alpha (ann),Beta,Info Ratio,Alpha t-stat,Alpha p-value,Alpha significant (5%),Bootstrap Alpha Mean,Bootstrap CI Low,Bootstrap CI High,P(alpha > 0),N Trades,N Days
Analyst Ratings,4.351920389424099,0.3123833954778137,1.050235502107025,0.25645806232670443,1.1888834128455876,1.5574854231906727,-0.34377335877096554,0.8869178736851262,0.14514139585720734,1.1607293435342252,1.696434237217822,4.214072034151975,2.652324523638802e-05,True,0.16754714509849486,0.09068729475667359,0.24321447434642826,1.0,10,1555
Momentum (60d),7.782718236785529,0.42207501141316706,1.050235502107025,0.2987801750484662,1.329380452875783,1.6974872329013273,-0.4439101779630433,0.8947587690798635,0.25557632131879826,1.0289235030211137,1.2317865232467018,3.0598516734561265,0.0022523573047200543,True,0.2601048549605453,0.09780322200416826,0.4244676167788228,0.9984,696,1555
Buy & Hold (EW),2.5425940424664657,0.22750101065404338,1.050235502107025,0.21597206164780908,1.057807190213493,1.3041781854520806,-0.3064880032829105,0.7454020948591653,0.0888394805630281,1.0144004566071156,1.656073991012981,4.113814104258833,4.095585181921649e-05,True,0.09035013576727767,0.04797711972068444,0.13565334628606904,0.9998,25,1555
